afpfs-ng 0.8.1-9
alsa-utils 1.1.0-2
atool 0.39.0-3
autoconf 2.69-2
automake 1.15-1
bash 4.3.042-4
bash-completion 2.1-5
binutils 2.26-3
bison 3.0.4-1
btrfs-progs 4.4.1-1
bzip2 1.0.6-5
cmatrix 1.2a-11
compton 0.1_beta2.5-2
coreutils 8.25-1
cpio 2.12-2
cryptsetup 1.7.1-1
cups 2.1.3-1
device-mapper 2.02.148-1
dhcpcd 6.10.1-1
dialog 1:1.3_20160209-1
diffutils 3.3-2
dmenu 4.6-1
dosfstools 3.0.28-1
dvd+rw-tools 7.1-7
dvdauthor 0.7.1-7
dvgrab 3.5-6
dzen2 0.9.5git-6
e2fsprogs 1.42.13-1
elinks 0.13-16
f2fs-tools 1.6.0-1
fakeroot 1.20.2-1
feh 2.14.2-1
ffmpegthumbnailer 2.1.1-1
file 5.25-1
filesystem 2015.09-1
findutils 4.6.0-1
firefox 45.0.1-1
flashplugin 11.2.202.577-1
flex 2.6.0-2
fontconfig-ttf-ms-fonts 1.0-2
gamin 0.1.10-8
gawk 4.1.3-1
gcc 5.3.0-5
gcc-libs 5.3.0-5
gettext 0.19.7-1
ghostscript 9.19-1
gimp 2.8.16-1
gksu 2.0.2-5
glibc 2.23-1
gnome-icon-theme 3.12.0-3
gnome-keyring 1:3.18.3-1
google-chrome 49.0.2623.110-1
gpick 0.2.5-5
grep 2.24-1
groff 1.22.3-6
grub 1:2.02.beta2-6
grub2-theme-archlinux 1.0-4
gstreamer0.10-bad-plugins 0.10.23-14
gstreamer0.10-base-plugins 0.10.36-3
gstreamer0.10-ffmpeg 0.10.13-2
gstreamer0.10-good-plugins 0.10.31-10
gstreamer0.10-ugly-plugins 0.10.19-16
gtk2-perl 1.2498-1
gvfs 1.26.3-1
gvfs-afc 1.26.3-1
gvfs-gphoto2 1.26.3-1
gvfs-mtp 1.26.3-1
gvfs-nfs 1.26.3-1
gvfs-smb 1.26.3-1
gzip 1.6-1
herbstluftwm 0.7.0-1
highlight 3.28-1
hplip 3.16.3-1
i3-gaps-git 4.12-1
i3lock 2.7-1
i3status-git 2.10.r19.gc094f47-1
imagemagick 6.9.3.7-1
inetutils 1.9.4-2
inkscape 0.91-16
intel-ucode 20151106-1
iproute2 4.4.0-1
iputils 20150815.1c59920-3
iw 4.3-1
j4-dmenu-desktop 2.13-1
jfsutils 1.1.15-4
kodi 16.0-2
leafpad 0.8.18.1-4
less 481-2
libdv 1.0.0-6
